Species,Shape,Height,Diameter1,Diameter2
Castanea sativa,4,10,0.986,0.986
Quercus robur,2,8.5,0.288,0.296
Castanea sativa,6,7,0.592,0.591
Castanea sativa,4,11.5,1.21,1.21
Castanea sativa,4,9.5,1.003,1.003
Quercus faginea,2,12.5,0.332,0.341
Castanea sativa,4,10,1.003,1.003
Castanea sativa,6,9.5,1.098,1.098
Castanea sativa,4,8,0.23,0.229
Crataegus spp.,3,6,0.108,0.106
Castanea sativa,3,7,0.158,0.161
Castanea sativa,3,6,0.129,0.118
Pinus radiata,2,14,0.33,0.277
Pinus radiata,2,17.5,0.251,0.241
Pinus radiata,2,16,0.24,0.25
Pinus radiata,2,20.5,0.313,0.33
Pinus radiata,2,21.5,0.232,0.257
Pinus radiata,2,18,0.269,0.27
Pinus radiata,2,24,0.343,0.341
Pinus radiata,2,24.5,0.351,0.33
Pinus radiata,2,19.5,0.259,0.246
Pinus radiata,2,20,0.204,0.194
Pinus radiata,2,19,0.303,0.317
Pinus radiata,2,15.5,0.251,0.239
Pinus radiata,2,21,0.276,0.243
Pinus radiata,2,15,0.238,0.224
Pinus radiata,2,21.5,0.332,0.327
Pinus radiata,2,17.5,0.267,0.264
Pinus radiata,2,20.5,0.316,0.307
Pinus radiata,2,24,0.455,0.449
Pinus radiata,2,24,0.292,0.304
Pinus radiata,2,20,0.372,0.346
Pinus radiata,2,23,0.38,0.394
Pinus radiata,2,22,0.234,0.26
Pinus radiata,2,16,0.215,0.245
Pinus radiata,2,22,0.393,0.406
Pinus radiata,5,5.5,0.169,0.151
Pinus radiata,2,19,0.363,0.36
Pinus radiata,2,23,0.324,0.318
Pinus radiata,2,19,0.326,0.318
Pinus radiata,2,25,0.254,0.259
Pinus radiata,2,22,0.281,0.264
Pinus radiata,2,23,0.269,0.276
Pinus radiata,2,26,0.315,0.319
Pinus radiata,2,23,0.342,0.324
Pinus radiata,2,26.5,0.444,0.439
Pinus radiata,2,19,0.286,0.288
Pinus radiata,2,21,0.261,0.254
Pinus radiata,2,25.5,0.389,0.352
Pinus radiata,2,28.5,0.323,0.332
Pinus radiata,2,20.5,0.253,0.261
Pinus radiata,2,21.5,0.296,0.301
Pinus radiata,2,25,0.378,0.376
Pinus radiata,2,25.5,0.29,0.317
Pinus radiata,2,22.5,0.31,0.326
Pinus radiata,2,23,0.363,0.354
Pinus radiata,3,7,0.122,0.128
Pinus radiata,2,28,0.424,0.398
Pinus radiata,2,25.5,0.328,0.321
Pinus radiata,2,27,0.398,0.371
Pinus radiata,3,6,0.096,0.093
Pinus radiata,2,23.5,0.338,0.332
Pinus radiata,3,5.5,0.108,0.102
Pinus radiata,3,6.5,0.137,0.14
Pinus radiata,3,10.5,0.17,0.162
Pinus radiata,2,24,0.424,0.422
Pinus pinaster,2,9,0.212,0.212
Pinus pinaster,5,5,0.161,0.164
Pinus pinaster,5,4.5,0.136,0.145
Pinus radiata,2,10.5,0.15,0.155
Pinus radiata,5,6,0.166,0.155
Pinus radiata,2,13,0.265,0.267
Pinus pinaster,5,3.5,0.2,0.211
Pinus radiata,2,17,0.308,0.315
Pinus radiata,2,13.5,0.223,0.221
Pinus radiata,5,3.5,0.157,0.163
Pinus radiata,2,11.5,0.178,0.184
Pinus radiata,5,3,0.155,0.162
Pinus radiata,2,17,0.336,0.336
Pinus radiata,2,21,0.255,0.262
Pinus radiata,2,15.5,0.239,0.246
Pinus radiata,2,16,0.215,0.211
Pinus radiata,3,10.5,0.137,0.134
Pinus pinaster,2,10.5,0.238,0.253
Pinus radiata,2,12.5,0.16,0.16
Pinus radiata,2,15.5,0.234,0.225
Pinus radiata,2,11.5,0.204,0.198
Pinus radiata,2,10.5,0.161,0.157
Pinus radiata,2,8.5,0.183,0.18
Pinus radiata,3,4.5,0.142,0.124
Pinus radiata,2,9,0.149,0.147
Pinus pinaster,5,4.5,0.18,0.169
Pinus radiata,2,16,0.282,0.296
Pinus radiata,3,6.5,0.191,0.175
Pinus radiata,2,14.5,0.272,0.275
Pinus radiata,2,32,0.431,0.453
Pinus radiata,2,32,0.522,0.513
Pinus radiata,2,36,0.552,0.457
Pinus radiata,2,35,0.524,0.589
Pinus radiata,2,26,0.239,0.235
Pinus radiata,2,33.5,0.422,0.488
Pinus radiata,2,23.5,0.393,0.418
Pinus radiata,2,37,0.449,0.441
Pinus radiata,1,37.5,0.603,0.603
Pinus radiata,2,35,0.498,0.545
Pinus radiata,2,27,0.265,0.263
Pinus radiata,2,33,0.468,0.502
Pinus radiata,2,16,0.178,0.192
Pinus radiata,2,36,0.508,0.53
Pinus radiata,2,32.5,0.416,0.406
Pinus radiata,2,27.5,0.415,0.432
Pinus radiata,2,29,0.435,0.423
Pinus radiata,2,33.5,0.458,0.445
Pinus radiata,2,33,0.582,0.641
Pinus radiata,2,28.5,0.468,0.442
Pinus radiata,2,31,0.498,0.493
Pinus radiata,2,36,0.507,0.525
Pinus radiata,2,37,0.489,0.542
Pinus radiata,2,37.5,0.523,0.544
Pinus radiata,2,34,0.466,0.499
Pinus radiata,2,29,0.403,0.494
Pinus radiata,2,13.5,0.177,0.179
Pinus radiata,3,10.5,0.114,0.111
Pinus radiata,2,12,0.166,0.158
Pinus radiata,2,12.5,0.127,0.132
Pinus radiata,2,12.5,0.127,0.127
Pinus radiata,2,16,0.197,0.203
Pinus radiata,2,11.5,0.177,0.176
Pinus radiata,2,13,0.187,0.183
Pinus radiata,2,11.5,0.234,0.224
Pinus radiata,3,10.5,0.106,0.093
Pinus radiata,2,14,0.189,0.185
Pinus radiata,2,15.5,0.195,0.2
Pinus radiata,2,15.5,0.165,0.163
Pinus radiata,3,9.5,0.103,0.103
Quercus robur,2,15,0.208,0.201
Fraxinus angustifolia,2,14.5,0.132,0.129
Quercus robur,2,13.5,0.108,0.112
Fraxinus angustifolia,2,18.5,0.122,0.119
Fraxinus angustifolia,2,15.5,0.12,0.133
Quercus robur,2,17,0.162,0.163
Quercus robur,2,14,0.102,0.102
Quercus robur,2,14,0.134,0.122
Quercus robur,2,15,0.194,0.208
Quercus robur,2,15,0.155,0.158
Pinus radiata,2,25,0.432,0.411
Quercus robur,3,11.5,0.099,0.079
Pinus radiata,2,23,0.238,0.24
Quercus robur,2,13,0.123,0.113
Quercus robur,2,13.5,0.183,0.172
Pinus radiata,2,28,0.512,0.487
Quercus robur,2,13,0.122,0.119
Pinus radiata,2,22.5,0.27,0.261
Quercus robur,2,13.5,0.132,0.13
Pinus radiata,2,21.5,0.273,0.254
Quercus robur,2,14,0.17,0.142
Pinus radiata,2,22,0.404,0.397
Quercus robur,2,13.5,0.137,0.158
Pinus radiata,2,22.5,0.245,0.242
Pinus radiata,2,18.5,0.215,0.218
Pinus radiata,2,23,0.313,0.324
Quercus robur,3,13.5,0.094,0.102
Pinus radiata,2,20.5,0.243,0.258
Quercus robur,3,8.5,0.076,0.078
Quercus robur,3,10,0.093,0.098
Quercus robur,2,14.5,0.156,0.155
Quercus robur,3,11.5,0.083,0.068
Quercus robur,2,13.5,0.145,0.133
Quercus robur,3,10,0.092,0.092
Quercus robur,2,13.5,0.127,0.132
Quercus robur,2,14,0.147,0.136
Quercus robur,2,17.5,0.171,0.159
Fraxinus angustifolia,2,16.5,0.151,0.14
Fraxinus angustifolia,2,17,0.138,0.137
Pinus radiata,1,40,0.629,0.647
