Region,ID,lat,lon,year,start DOY,end DOY,Size (km2),duration (days),expansion (km2 day-1),fire line length (km),speed (km day-1),dominant spread direction
Australia,986535.0,-19.5520839691,133.714904785,2007.0,232.0,303.0,40025.69,72.0,555.91,297.91,18.76,northwest
Australia,880609.0,-16.7854175568,132.570037842,2014.0,251.0,322.0,37289.27,72.0,517.91,327.35,13.79,southeast
Australia,979997.0,-17.9104175568,132.207290649,2004.0,276.0,323.0,33227.84,48.0,692.25,359.66,14.60,southeast
Australia,887061.0,-24.3979167938,135.664413452,2011.0,251.0,281.0,23868.92,31.0,769.97,389.23,15.34,northwest
Australia,883061.0,-19.6604175568,132.428359985,2011.0,232.0,278.0,22560.84,47.0,480.02,293.71,12.85,northwest
Australia,883076.0,-18.7979164124,133.632629395,2011.0,249.0,275.0,19994.63,27.0,740.54,425.62,14.56,northwest
Australia,884748.0,-27.0395832062,124.943153381,2012.0,244.0,311.0,18345.48,68.0,269.79,175.96,19.52,southeast
Australia,987886.0,-20.6187496185,130.410644531,2007.0,244.0,287.0,14743.23,44.0,335.07,197.83,15.68,southeast
Australia,894785.0,-17.6604175568,133.142272949,2012.0,232.0,273.0,13290.23,42.0,316.43,236.33,8.62,northwest
Australia,990997.0,-16.6104164124,141.953216553,2004.0,263.0,319.0,12904.16,57.0,226.39,126.98,11.57,northwest
Asia,806358.0,47.5854148865,119.012870789,2012.0,102.0,123.0,6468.58,22.0,294.03,182.95,70.37,southwest
Asia,909488.0,46.8895835876,119.960922241,2003.0,139.0,151.0,6180.04,13.0,475.39,166.61,29.72,west
Asia,831819.0,47.3604164124,70.3703536987,2004.0,150.0,183.0,6171.90,34.0,181.53,143.43,11.50,northeast
Asia,806239.0,48.3895835876,76.9419021606,2015.0,209.0,234.0,5895.58,26.0,226.75,258.80,27.55,northeast
Asia,857126.0,49.5437507629,65.2787322998,2005.0,182.0,202.0,4972.72,21.0,236.80,178.17,17.27,southwest
