Region,ID,lat,lon,year,start DOY,end DOY,Size (km2),duration (days),expansion (km2 day-1),fire line length (km),speed (km day-1),dominant spread direction
Australia,986535,-19.55208397,133.7149048,2007,232,303,40025.69,72,555.91,297.91,18.76,northwest
Australia,880609,-16.78541756,132.5700378,2014,251,322,37289.27,72,517.91,327.35,13.79,southeast
Australia,979997,-17.91041756,132.2072906,2004,276,323,33227.84,48,692.25,359.66,14.6,southeast
Australia,887061,-24.39791679,135.6644135,2011,251,281,23868.92,31,769.97,389.23,15.34,northwest
Australia,883061,-19.66041756,132.42836,2011,232,278,22560.84,47,480.02,293.71,12.85,northwest
Australia,883076,-18.79791641,133.6326294,2011,249,275,19994.63,27,740.54,425.62,14.56,northwest
Australia,884748,-27.03958321,124.9431534,2012,244,311,18345.48,68,269.79,175.96,19.52,southeast
Australia,987886,-20.61874962,130.4106445,2007,244,287,14743.23,44,335.07,197.83,15.68,southeast
Australia,894785,-17.66041756,133.1422729,2012,232,273,13290.23,42,316.43,236.33,8.62,northwest
Australia,990997,-16.61041641,141.9532166,2004,263,319,12904.16,57,226.39,126.98,11.57,northwest
Asia,806358,47.58541489,119.0128708,2012,102,123,6468.58,22,294.03,182.95,70.37,southwest
Asia,909488,46.88958359,119.9609222,2003,139,151,6180.04,13,475.39,166.61,29.72,west
Asia,831819,47.36041641,70.3703537,2004,150,183,6171.9,34,181.53,143.43,11.5,northeast
Asia,806239,48.38958359,76.94190216,2015,209,234,5895.58,26,226.75,258.8,27.55,northeast
Asia,857126,49.54375076,65.2787323,2005,182,202,4972.72,21,236.8,178.17,17.27,southwest
Asia,877527,46.96875,117.432312,2004,155,174,4361.98,20,218.1,150.96,23.7,west
Asia,794486,49.21875,115.0347214,2012,111,124,4258.01,14,304.14,196.78,68.2,east
Asia,813309,46.91041565,117.1213837,2011,168,181,4229.5,14,302.11,212.75,33.7,east
Asia,897775,49.33541489,114.8465729,2003,121,129,4003.13,9,444.79,189.98,77.5,east
Asia,831634,48.81458282,68.26771545,2004,167,196,3709.44,30,123.65,124.84,9.27,northeast
Africa,666317,-22.70624924,22.43717957,2008,240,280,36145.4,41,881.6,311.19,23.59,northeast
Africa,625544,-22.63958359,25.00063324,2010,207,242,11755.78,36,326.55,182.5,15.69,southeast
Africa,598536,-22.32291603,22.46516228,2011,267,306,9979.09,40,249.48,170.71,15.94,southeast
Africa,598179,-20.33124924,22.1622963,2011,274,306,8553.75,33,259.2,154.33,10.52,south
Africa,398388,-25.61874962,22.12275887,2011,272,305,8240.99,34,242.38,189.11,7.28,northwest
Africa,299401,15.2770834,19.77550888,2005,327,337,7843.76,11,713.07,240.89,15.16,southeast
Africa,483757,7.760416508,25.50873947,2006,347,36,7603.67,55,138.25,137.46,4.33,west
Africa,662981,-19.34791756,22.14034843,2008,268,297,6804.5,30,226.82,159.19,7.86,south
Africa,598538,-22.43541718,24.12938881,2011,268,306,6798.5,39,174.32,118.03,9.41,north
Africa,230913,14.49374962,19.85446167,2012,290,299,6472.87,10,647.29,268.82,38.55,west
Europe,226098,39.66458511,-8.065579414,2003,199,223,997.46,25,39.9,23.48,25.88,southeast
Europe,226077,39.99791718,-7.696716309,2003,210,225,505.05,16,31.57,21.47,21.19,southwest
Europe,293036,37.53958511,21.83472443,2007,236,249,468.83,14,33.49,29.6,4.17,north
Europe,292920,37.87708282,21.53303528,2007,234,246,437.53,13,33.66,26.57,8.79,southeast
Europe,148984,39.28958511,-0.875199795,2012,180,191,321.77,12,26.81,23.27,5.88,east
Europe,208012,37.58124924,-6.456510544,2004,208,213,311.91,6,51.98,30.33,10.17,east
Europe,226560,37.21458435,-8.628603935,2003,221,231,285.97,11,26,24.92,3.79,north
Europe,208073,37.27708435,-8.064760208,2004,208,218,270.75,11,24.61,14.73,12.71,northwest
Europe,156084,40.86041641,-8.275567055,2016,219,236,269.03,18,14.95,12.48,8.01,east
Europe,226562,37.33958435,-8.501385689,2003,255,263,267.53,9,29.73,21.76,5.73,northwest
South America,123037,-38.78125,-63.43163681,2016,360,13,3257.34,20,162.87,88.69,12.08,southwest
South America,64395,-12.9729166,-51.54701614,2010,246,275,2915.63,30,97.19,78.69,7.72,south
South America,116796,-12.33125019,-50.7348938,2010,239,266,2451.1,28,87.54,63.45,12.57,south
