day,site,long,lat,X,nox,no2,so2,pm10_raw,pm10,v10,nv10,o3,pm25,v2.5,nv2.5,co,code,ws,wd,solar,rain,temp,bp,GRID.X,Prunus,Platanus,Acer,Tilia,Sorbus,Pyrus,Betula,Malus,Fraxinus,Carpinus,Crataegus,Corylus,Aesculus,Alnus,Quercus,Robinia,Ginkgo,Ilex,other,Total,sum,others.id.,month
1,Ealing - Hanger Lane Gyratory,-0.292488,51.53085,NA,NA,NA,NA,13.6163137318773,13.302259687195,NA,NA,NA,NA,NA,NA,NA,NA,3.94427083333333,179.659074613124,NA,0.089583333333333,8.70121527777778,988.845087673611,518537,10,2,2,76,2,2,2,1,1,6,0,2,7,1,1,0,0,0,79,194,194,79,1
1,Hackney - Old Street,-0.08491,51.526454,NA,57.2636590359757,36.9082288369491,NA,17.3809034392479,15.470324290112,NA,NA,46.700378647482,NA,NA,NA,NA,NA,3.94427083333333,179.659074613124,NA,0.089583333333333,8.70121527777778,988.845087673611,532947,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,22,1
1,Westminster - Horseferry Road,-0.131938,51.494681,NA,20.6277227220917,16.2405518997821,NA,NA,8.06350556394302,2.0817451596666,5.98176040427642,NA,NA,NA,NA,NA,NA,3.94427083333333,179.659074613124,NA,0.089583333333333,8.70121527777778,988.845087673611,529802,36,94,9,12,12,27,22,26,7,4,1,0,0,4,0,9,5,4,40,312,312,40,1
2,Ealing - Hanger Lane Gyratory,-0.292488,51.53085,NA,NA,NA,NA,28.85007053164,21.6142567080224,NA,NA,NA,NA,NA,NA,NA,NA,2.59739583333333,204.22158633938,NA,0.047916666666667,8.97473958333333,989.6134609375,518537,10,2,2,76,2,2,2,1,1,6,0,2,7,1,1,0,0,0,79,194,194,79,1
2,Hackney - Old Street,-0.08491,51.526454,NA,109.428600113396,59.0276626000775,NA,25.4795799139134,18.5955211833393,NA,NA,29.588185216083,NA,NA,NA,NA,NA,2.59739583333333,204.22158633938,NA,0.047916666666667,8.97473958333333,989.6134609375,532947,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,22,1
2,Westminster - Horseferry Road,-0.131938,51.494681,NA,39.8581992010743,28.3689116666667,NA,NA,10.9034864755855,0.781896154725917,10.1215903208596,NA,NA,NA,NA,NA,NA,2.59739583333333,204.22158633938,NA,0.047916666666667,8.97473958333333,989.6134609375,529802,36,94,9,12,12,27,22,26,7,4,1,0,0,4,0,9,5,4,40,312,312,40,1
3,Ealing - Hanger Lane Gyratory,-0.292488,51.53085,NA,NA,NA,NA,26.5176364811311,20.3275743215026,NA,NA,NA,NA,NA,NA,NA,NA,4.23680555555556,208.174982733246,NA,0.064583333333333,8.58333333333333,990.5307109375,518537,10,2,2,76,2,2,2,1,1,6,0,2,7,1,1,0,0,0,79,194,194,79,1
3,Hackney - Old Street,-0.08491,51.526454,NA,89.030164857431,52.6685766854015,NA,31.7437878620157,23.5106475824043,NA,NA,44.5479401881556,NA,NA,NA,NA,NA,4.23680555555556,208.174982733246,NA,0.064583333333333,8.58333333333333,990.5307109375,532947,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,22,1
3,Westminster - Horseferry Road,-0.131938,51.494681,NA,27.727466295103,20.975714043573,NA,NA,14.6748422337452,0.747933936507833,13.9269082972374,NA,NA,NA,NA,NA,NA,4.23680555555556,208.174982733246,NA,0.064583333333333,8.58333333333333,990.5307109375,529802,36,94,9,12,12,27,22,26,7,4,1,0,0,4,0,9,5,4,40,312,312,40,1
4,Ealing - Hanger Lane Gyratory,-0.292488,51.53085,NA,NA,NA,NA,24.5960298752245,20.2148573105493,NA,NA,NA,NA,NA,NA,NA,NA,2.571875,201.011092466835,NA,0.05625,7.62526041666667,989.110106770833,518537,10,2,2,76,2,2,2,1,1,6,0,2,7,1,1,0,0,0,79,194,194,79,1
