Year	Males	Females
1956	681	680
1957	992	962
1958	1180	1122
1959	1372	1225
1960	1351	1174
1961	1384	1268
1962	1320	1338
1963	1017	1079
1964	1069	1150
1965	1096	1297
1966	1077	1266
1967	1231	1340
1968	1351	1341
1969	1160	1215
1970	1114	1293
1971	1018	1322
1972	900	1155
1973	944	1191
1974	974	1217
1975	1093	1402
1976	1202	1480
1977	905	1130
1978	1025	1240
1979	930	1211
1980	1003	1284
1981	1034	1328
1982	1028	1294
1983	1127	1245
1984	1207	1291
1985	1305	1486
1986	1438	1509
1987	1540	1650
1988	1583	1661
1989	1713	1718
1990	1772	1686
1991	1870	1848
1992	1934	1833
1993	2053	1829
1994	1708	1573
1995	1683	1677
1996	1383	1611
1997	1358	1486
1998	1366	1425
1999	1260	1538
2000	1350	1528
2001	1374	1499
2002	1457	1595
2003	1290	1414
2004	1304	1352
2005	1272	1440
2006	1154	1170
2007	1124	1164
2008	1111	1030
2009	919	914
2010	948	916
2011	915	1043
2012	899	1041
2013	946	1093
2014	947	1120
2015	938	1095
2016	895	1122
