Run_Number	Male	Female
230	1149	1212
229	1105	1265
228	1148	1590
227	1163	1385
226	1179	1195
225	1166	1429
224	1216	1274
223	1195	1406
222	1107	1448
221	1188	1371
220	1126	1420
219	1219	1257
218	1207	1340
217	1039	1362
216	1183	1364
215	1139	1441
214	1180	1372
213	1130	1361
212	1068	1355
211	1095	1453
210	1171	1239
209	1055	1413
208	1194	1427
207	1270	1468
206	1041	1283
205	1197	1276
204	1186	1161
203	1183	1490
202	1175	1379
201	1180	1368
200	1210	1477
199	1130	1401
198	1118	1512
197	1087	1210
196	1125	1467
195	1124	1453
194	1142	1546
193	1154	1430
192	1115	1424
191	1122	1449
190	1136	1436
189	1105	1449
188	1020	1355
187	1075	1457
186	1071	1466
185	1178	1520
184	1114	1498
183	1108	1383
182	1085	1348
181	1177	1418
180	1172	1422
179	1009	1484
178	1050	1400
177	1123	1406
176	1128	1457
175	1109	1397
174	1059	1417
173	1052	1430
172	1102	1453
171	1141	1470
170	1148	1363
169	1116	1395
168	1126	1403
167	1128	1426
166	1068	1392
165	1145	1376
164	1186	1408
163	1143	1369
162	1183	1192
161	1182	1374
160	1087	1364
159	1019	1405
158	1123	1346
157	1197	1407
156	1165	1441
155	1029	1222
154	1048	1226
153	1160	1470
152	1041	1322
151	1233	1511
150	1227	1309
149	1074	1441
148	1221	1327
147	1111	1437
146	1197	1426
145	1145	1188
144	1119	1222
143	1124	1231
142	1163	1480
141	1147	1416
140	1114	1246
139	1224	1349
138	1087	1406
137	1197	1407
136	1173	1191
135	1116	1396
134	1133	1387
133	1105	1441
132	1123	1512
131	1136	1146
130	1065	1332
129	957	1390
128	1138	1243
127	1172	1542
126	1170	1485
125	1105	1143
124	1129	1463
123	1199	1276
122	1146	1195
121	1203	1394
120	1207	1332
119	1175	1459
118	1088	1385
117	1136	1390
116	1096	1332
115	1107	1394
114	1096	1475
113	1132	1323
112	1139	1382
111	1179	1367
110	1198	1346
109	1167	1237
108	1125	1340
107	1072	1263
106	1087	1408
105	1063	1335
104	1216	1344
103	1089	1361
102	1070	1292
101	1101	1352
100	1149	1207
99	1058	1450
98	1193	1423
97	1215	1385
96	1076	1305
95	1170	1490
94	1139	1293
93	1138	1332
92	1107	1270
91	1171	1510
90	1115	1331
89	1148	1349
88	1181	1377
87	1058	1367
86	1117	1326
85	1127	1401
84	1119	1346
83	1193	1288
82	1043	1358
81	1103	1345
80	1109	1442
79	1054	1322
78	1080	1384
77	1211	1402
76	1095	1348
75	1133	1508
74	1175	1417
73	1147	1362
72	1128	1300
71	1193	1422
70	1160	1545
69	1088	1354
68	1085	1374
67	1193	1403
66	1148	1278
65	1171	1478
64	1094	1388
63	1074	1287
62	1147	1191
61	1138	1329
60	1093	1266
59	1160	1394
58	1142	1196
57	1046	1296
56	1063	1392
55	1155	1441
54	1173	1380
53	1138	1427
52	995	1367
51	1124	1432
50	1159	1396
49	990	1445
48	1111	1480
47	1075	1428
46	982	1405
45	1130	1470
44	1177	1466
43	1055	1495
42	1164	1463
41	1148	1438
40	1106	1314
39	1129	1398
38	1210	1318
37	1158	1388
36	1024	1491
35	1046	1381
34	1014	1400
33	1255	1496
32	1028	1430
31	1179	1380
30	1280	1488
29	1006	1472
28	1170	1477
27	1122	1511
26	1233	1507
25	1251	1277
24	1064	1274
23	1097	1487
22	1083	1427
21	1083	1383
20	1168	1550
19	1063	1453
18	1150	1330
17	1183	1454
16	1120	1199
15	1151	1398
14	1137	1484
13	1180	1376
12	1149	1265
11	1162	1414
10	1114	1354
9	1131	1265
8	1202	1448
7	1107	1265
6	1142	1560
5	1035	1287
4	1157	1297
3	1040	1296
2	1158	1499
1	912	1256
